instance_type,region,cpu_usage,memory_usage,network_in,network_out,storage_usage,uptime_hours,cost,is_idle
m5.large,eu-central-1,39.963209507789,37.01086944283389,614.7962904552335,618.6055632622576,1496.482263105312,394.2932256026832,363.4471466356073,0
t2.medium,eu-central-1,86.05714451279329,36.053621939679985,824.8890963699877,237.909089684133,1437.10940794363,373.1142900403297,311.1611511958965,0
c5.xlarge,us-west-2,68.5595153449124,78.90654773386738,784.1448368111431,797.9156506838519,372.3575575940438,291.60003450148724,416.8882122105911,0
t2.micro,us-east-1,57.89267873576293,36.220502990217895,238.5099142243963,590.4929912553932,1860.63032883044,515.7786684527737,219.95582816635755,0
t2.small,ap-south-1,22.48149123539492,37.676732198361016,234.32452276732653,225.7631068455634,1223.2499638822753,447.844563464487,190.97914407667363,0
t2.medium,ap-south-1,22.479561626896214,69.36088705716764,341.356930970422,869.8704459849655,854.7059380442316,650.1645160084819,286.32839846352624,0
t2.micro,us-east-1,14.646688973455957,49.2330897592851,424.9672537069335,514.6923706682564,1561.769450291552,216.69698185067028,153.73678603465544,0
t2.micro,ap-south-1,79.29409166199481,70.48618620208677,467.61002326763435,158.318761497324,663.2578251229413,534.8113223286657,183.63159531260933,0
t2.small,us-east-1,58.0892009394567,24.24880024168504,711.7274951500108,601.4663235320538,1448.3177066833766,596.7334168260118,276.4389586612044,0
t2.small,ap-south-1,66.64580622368364,51.69212758876998,151.01238894925186,302.5591256102482,271.480173630045,594.9330159779197,190.07900660713614,0
m5.large,ap-south-1,11.646759543664196,22.184884011913372,131.20543380345975,742.954761501842,1710.9344676966896,660.7584628896731,380.8381471486357,1
c5.xlarge,us-east-1,87.59278817295954,24.072458224598044,452.7195066495181,754.2576588529525,1006.7075246383732,579.0975462713369,532.4052036187245,0
t2.medium,us-east-1,76.59541126403374,78.9184344673867,727.4473229241825,883.1578846837294,1346.047245844295,682.4612320568021,397.814434051035,0
c5.xlarge,ap-south-1,26.987128854262092,29.050949122643686,274.0918086608343,501.495624819603,598.2280756520306,372.9814319068636,305.8613665354987,0
t2.medium,ap-south-1,24.54599737656805,54.60734434788911,677.3540331306265,463.9655037821897,1418.7326827852064,461.6688967108024,288.08813191357945,0
t2.micro,us-west-2,24.672360788274705,46.72121416904592,333.8453241462695,702.7804843571845,1590.0324966078979,207.32142490710316,165.88653335983943,0
t2.small,eu-central-1,34.33937943676302,42.577316206824776,897.4774979321647,205.97652507354127,1051.7837363919177,203.61794539771142,179.06560202425442,0
t2.small,us-east-1,51.98051453057903,78.48916746967271,906.1209498399548,537.5324110344993,1311.9084633112298,324.86584263479034,249.99011831837112,0
t2.micro,us-east-1,44.55560149136926,21.418520790406816,367.5584838531938,536.9980801046808,1021.3866628803174,252.41974251232432,140.91995587014904,0
t2.micro,eu-central-1,33.298331215843355,63.14632960141329,306.99437856691645,171.57849824830976,1809.364464664122,335.3099113265919,180.6603314026472,0
t2.medium,us-west-2,58.94823157779036,82.62063822388077,470.17357485960815,434.38726840553085,1096.1645249257745,292.06251315476663,262.44530523368934,0
t2.micro,ap-south-1,21.15950885216335,56.410931925019725,316.47842666213387,782.6278388537615,1715.255676251874,214.8304129160971,171.98373610261032,0
t2.medium,ap-south-1,33.37157188281745,80.89346003215097,705.1454589625333,784.9228975957283,1642.4337048864475,672.8381561311458,376.6136723954933,0
c5.xlarge,us-west-2,39.308947463495336,23.396762153591546,843.4582160934569,179.39013193574482,938.9086784270418,204.2760283222236,327.41338251784816,0
t2.small,us-west-2,46.48559873736288,47.22156573982049,705.7829178200953,172.57670619826467,614.152085343455,582.7627150552844,210.73185958605703,0
t2.small,eu-central-1,72.81407691144109,36.91025641253333,841.9154025244145,310.1563816015482,930.9478386075878,279.1169011981486,212.2834534632029,0
t2.small,eu-central-1,25.973902572668777,67.50336272374744,457.2929459867267,799.8128500431948,1687.1912763953962,674.359403439792,296.20390919475227,0
c5.xlarge,ap-south-1,51.13875507308893,83.78431088232104,240.68527363797477,203.12206805879916,609.7385644749063,664.2538885867407,449.2671079946705,0
c5.xlarge,us-west-2,57.3931655089634,36.67445405887611,764.155852657833,675.997442101957,1143.985422543949,540.0285961120138,524.5012630955251,0
m5.large,us-west-2,13.716033017599818,62.52134909581484,424.4270546273985,180.93249569048257,1650.9741463293456,549.5617578963147,360.3359399086694,0
t2.medium,ap-south-1,58.603588152115066,32.87634612938311,704.1437427062192,598.5102829982603,836.2594552310818,202.77635382423804,223.76253801609704,0
t2.medium,ap-south-1,23.64192989498332,56.74646654715465,343.5795477835891,384.8538392953158,1355.9773466048553,712.133214379073,306.6674589267922,0
m5.large,ap-south-1,15.204127438822361,50.15561163474185,173.1066713260054,731.1311703726936,642.1368332878661,656.4729538594235,306.24847981056047,0
